proyecto;Descuento Home Capital;precio_portales;Precio con descuento;Descuento Home Capital
Olivar Aptos;0.8;300000000;276000000;24000000
Olivar Apto 9909;0.07;280000000;275000000;5000000
Olivar Apto 9904;0.07;299000000;292000000;7000000
Arándanos 203;0.07;299000000;289000000;10000000
Arándanos 106;0.07;258000000;250000000;8000000
Portón del Norte 61 ;0.07;205000000;183000000;22000000
Portón del Norte 70;0.07;258000000;235000000;23000000
Cantares de Riachuelos 51;0.07;215000000;205000000;10000000
Cantares de Riachuelos 61;0.07;245000000;230000000;15000000
Bari;0.07;235000000;229000000;6000000
Flor de Agua;0.07;350000000;329000000;21000000
Majagua;0.07;235000000;209000000;26000000
Reserva de Búcaros;0.07;280000000;258000000;22000000
Selvática;0.07;343000000;335000000;8000000
Ciudadela Monteflor;0.07;283000000;275000000;8000000
Vista del Valle;0.07;272000000;262000000;10000000
Alameda del Contador;0.07;380000000;334000000;46000000
Gratamira Real;0.07;575000000;488000000;87000000
Edificio 22 Suites Gold;0.07;390000000;306000000;84000000
Reserva de Normandia ;0.07;370000000;354000000;16000000
Balcones de Sevilla;0.07;380000000;353000000;27000000
